,0
0,Two Sum
1,Valid Parentheses
2,Merge Two Sorted Lists
3,Best Time to Buy and Sell Stock
4,Valid Palindrome
5,Invert Binary Tree
6,Valid Anagram
7,Binary Search
8,Flood Fill
9,Maximum Subarray
10,"Lowest Common Ancestor of a Binary
                                      Search Tree"
11,Balanced Binary Tree
12,Linked List Cycle
13,Implement Queue using Stacks
14,First Bad Version
15,Ransom Note
16,Climbing Stairs
17,Longest Palindrome
18,Reverse Linked List
19,Majority Element
20,Add Binary
21,Diameter of Binary Tree
22,Middle of the Linked List
23,Maximum Depth of Binary Tree
24,Contains Duplicate
25,Meeting Rooms
26,Roman to Integer
27,Backspace String Compare
28,Counting Bits
29,Same Tree
30,Number of 1 Bits
31,Longest Common Prefix
32,Single Number
33,Palindrome Linked List
34,Move Zeroes
35,Symmetric Tree
36,Missing Number
37,Palindrome Number
38,"Convert Sorted Array to Binary Search
                                      Tree"
39,Reverse Bits
40,Subtree of Another Tree
41,Squares of a Sorted Array
42,Insert Interval
43,01 Matrix
44,K Closest Points to Origin
45,"Longest Substring Without Repeating
                                      Characters"
46,3Sum
47,Binary Tree Level Order Traversal
48,Clone Graph
49,Evaluate Reverse Polish Notation
50,Course Schedule
51,Implement Trie (Prefix Tree)
52,Coin Change
53,Product of Array Except Self
54,Min Stack
55,Validate Binary Search Tree
56,Number of Islands
57,Rotting Oranges
58,Search in Rotated Sorted Array
59,Combination Sum
60,Permutations
61,Merge Intervals
62,"Lowest Common Ancestor of a Binary
                                      Tree"
63,Time Based Key-Value Store
64,Accounts Merge
65,Sort Colors
66,Word Break
67,Partition Equal Subset Sum
68,String to Integer (atoi)
69,Spiral Matrix
70,Subsets
71,Binary Tree Right Side View
72,Longest Palindromic Substring
73,Unique Paths
74,"Construct Binary Tree from Preorder and
                                      Inorder Traversal"
75,Container With Most Water
76,"Letter Combinations of a Phone
                                      Number"
77,Word Search
78,Find All Anagrams in a String
79,Minimum Height Trees
80,Task Scheduler
81,LRU Cache
82,Kth Smallest Element in a BST
83,Daily Temperatures
84,House Robber
85,Gas Station
86,Next Permutation
87,Valid Sudoku
88,Group Anagrams
89,Maximum Product Subarray
90,"Design Add and Search Words Data
                                      Structure"
91,Pacific Atlantic Water Flow
92,Remove Nth Node From End of List
93,Shortest Path to Get Food
94,Find the Duplicate Number
95,Top K Frequent Words
96,Longest Increasing Subsequence
97,Graph Valid Tree
98,Course Schedule II
99,Swap Nodes in Pairs
100,Path Sum II
101,Longest Consecutive Sequence
102,Rotate Array
103,Odd Even Linked List
104,Decode String
105,Contiguous Array
106,Maximum Width of Binary Tree
107,Find K Closest Elements
108,"Longest Repeating Character
                                      Replacement"
109,Inorder Successor in BST
110,Jump Game
111,Add Two Numbers
112,Generate Parentheses
113,Sort List
114,"Number of Connected Components in an
                                      Undirected Graph"
115,Minimum Knight Moves
116,Subarray Sum Equals K
117,Asteroid Collision
118,Random Pick with Weight
119,Kth Largest Element in an Array
120,Maximal Square
121,Rotate Image
122,"Binary Tree Zigzag Level Order
                                      Traversal"
123,Design Hit Counter
124,Path Sum III
125,"Pow(x, n)"
126,Search a 2D Matrix
127,Largest Number
128,Decode Ways
129,Meeting Rooms II
130,Reverse Integer
131,Set Matrix Zeroes
132,Reorder List
133,Encode and Decode Strings
134,Cheapest Flights Within K Stops
135,All Nodes Distance K in Binary Tree
136,3Sum Closest
137,Rotate List
138,Find Minimum in Rotated Sorted Array
139,Basic Calculator II
140,Combination Sum IV
141,Insert Delete GetRandom O(1)
142,Non-overlapping Intervals
143,Minimum Window Substring
144,"Serialize and Deserialize Binary
                                      Tree"
145,Trapping Rain Water
146,Find Median from Data Stream
147,Word Ladder
148,Basic Calculator
149,Maximum Profit in Job Scheduling
150,Merge k Sorted Lists
151,Largest Rectangle in Histogram
152,Binary Tree Maximum Path Sum
153,Maximum Frequency Stack
154,Median of Two Sorted Arrays
155,Longest Increasing Path in a Matrix
156,Longest Valid Parentheses
157,Design In-Memory File System
158,Employee Free Time
159,Word Search II
160,Alien Dictionary
161,Bus Routes
162,Sliding Window Maximum
163,Palindrome Pairs
164,Reverse Nodes in k-Group
165,Sudoku Solver
166,First Missing Positive
167,N-Queens
168,"Smallest Range Covering Elements from K
                                      Lists"
